Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
5.538426833,0.642613678,12.70512955,1.417701874,12.80012296
5.548402833,1.095721436,12.19514008,0.6966513062,12.26406825
5.558377833,1.433419189,11.53591095,0.2230361938,11.62676555
5.568353833,1.409768372,10.82459015,-0.01362167358,10.91601504
5.578329833,1.298250275,10.06012985,0.0845741272,10.14390552
5.588305833,1.363065491,9.53382431,-0.09205856323,9.631211154
5.598281833,1.455423431,9.301507416,-0.5146298218,9.428740182
5.608256833,1.398541718,9.022637329,-0.7092251587,9.157887509
5.618232833,1.188229065,8.721912689,-0.2707868958,8.806643788
5.628208833,0.8309220886,8.573571167,0.4493655396,8.625455551
5.638184833,0.3734733582,8.358169098,1.331181793,8.471748225
5.648160833,-0.0809815979,8.277935944,1.876348114,8.488313363
5.658136833,-0.2152523804,8.332272949,2.103874969,8.596475788
5.668111833,-0.5966592407,8.383915558,2.202669525,8.688946735
5.678087833,-1.053359528,8.503965912,1.540446625,8.706318299
5.688063833,-1.417851562,8.591833191,0.8286767578,8.747377081
5.698039833,-2.088756409,8.563242645,0.145796814,8.815513862
5.708015833,-2.173480225,8.587941284,0.1758842468,8.860456368
5.717990833,-2.172432404,8.576415253,0.4478686523,8.858608664
5.727966833,-1.680704956,8.550818481,0.7092251587,8.743241171
5.737942833,-0.7839198303,8.785680084,1.063388672,8.88445273
5.747918833,-0.3929328918,9.037456512,1.395398254,9.152986002
5.757894833,-0.4513114929,9.109905853,1.522633667,9.247295821
5.767870833,-0.9647438049,9.094787292,1.325044556,9.24130021
5.777845833,-1.374292145,9.033863983,1.218765564,9.218718288
5.787821833,-1.578018494,8.96291153,1.319206696,9.195881239
5.797797833,-1.642234955,8.895252228,1.508862305,9.17055687
5.807773833,-1.749412079,8.680748291,1.609004059,9.000262639
5.817749833,-1.534459076,8.5346521,1.60421402,8.818636728
5.827724833,-1.362616425,8.250842285,1.805994415,8.555392321
5.837700833,-1.184636536,8.104147339,2.05118454,8.443217741
5.847676833,-0.8104147339,8.094417572,2.350412292,8.467632834
5.857652833,-0.4040098572,8.248297577,2.738255768,8.700326519
5.867628833,-0.09984237671,8.535699921,3.253184967,9.135171266
5.877604833,-0.1999841309,8.76741806,3.727398834,9.528961914
5.887579833,-0.3966751099,9.123677216,3.666176147,9.840715656
