Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.807831,11.495495,-4.256847839,2.572550354,12.52538119
1.817806,11.24282043,-4.300706635,2.576442261,12.30996115
1.827782,11.29955246,-4.275558929,2.549947357,12.34757148
1.837758,11.52438492,-4.052672424,2.383194122,12.44649411
1.847734,11.6215329,-3.97827713,2.099533997,12.46173177
1.85771,11.14686996,-3.99698822,1.625769196,11.95289715
1.867685,10.72100555,-3.757336578,0.74065979,11.38446816
1.877661,10.53404434,-3.617527313,0.1315763855,11.13866717
1.887637,10.57356216,-3.604055328,0.1146615601,11.17150746
1.897613,10.51129166,-3.751947784,0.1691482544,11.16212236
1.907589,10.18003052,-3.96420639,0.2457888794,10.9274135
1.917564,9.767338715,-4.326602783,0.3908372498,10.68986206
1.92754,9.429191895,-4.676575012,0.6135740662,10.54307767
1.937516,9.207502899,-5.007237396,1.141526184,10.54294162
1.947492,8.917855225,-5.502257996,1.705553284,10.61658593
1.957468,8.489745483,-5.813909912,1.643881531,10.42015707
1.967443,8.067024536,-6.065087585,1.127305756,10.15544143
1.977419,7.699389038,-6.340514832,0.6237528992,9.993587322
1.987395,7.514972534,-6.679559784,0.2625540161,10.05784598
1.997371,7.483687592,-6.825356598,0.08292755127,10.1290646
2.007347,7.463629303,-6.883884888,-0.001945953369,10.1535037
2.017322,7.533084869,-6.923103333,-0.399818573,10.23897369
2.027298,7.586374054,-6.709347839,-0.819994812,10.16074856
2.037274,7.517966309,-6.749913483,-1.286574554,10.18510793
2.04725,7.209457855,-7.023694153,-1.713786163,10.21007469
2.057226,6.701264648,-7.344776459,-2.365381165,10.21996659
2.067201,6.869664459,-7.3176828,-2.632126465,10.37636069
2.077177208,7.297624512,-7.162754974,-2.018552399,10.42280846
2.087153208,7.538024597,-7.067103882,-1.360371094,10.42191833
2.097129208,7.726333008,-6.952741699,-0.8309220886,10.42723695
2.107105208,7.616162109,-7.093598785,-0.5721102905,10.4236452
2.117080208,7.313641205,-7.354057159,-0.503253479,10.38387059
2.127056208,7.030430145,-7.626939697,-0.5287005615,10.38636998
2.137032208,6.78883255,-7.795339508,-0.3852987671,10.34427477
2.147008208,6.568790131,-8.06418045,-0.1811233521,10.40253891
2.156984208,6.166277161,-8.40711731,-0.03353027344,10.4261076
2.166960208,5.962550812,-8.60246109,0.07723937988,10.46710633
2.176935208,6.062393188,-8.725954285,0.180075531,10.62672652
2.186911208,6.40039032,-8.875643005,0.1782792664,10.94412256
2.196887208,6.754254456,-9.174272003,0.1058299255,11.39291095
2.206863208,6.862180023,-9.631870422,-0.01781295776,11.82635869
2.216839208,6.876699829,-10.03303619,-0.1231938171,12.16412728
2.226814208,6.73150177,-10.24035507,-0.1508862305,12.25564175
2.236790208,6.496191101,-10.15563126,-0.3082090759,12.05953307
2.246766208,6.395001526,-10.16221756,-0.4885839844,12.01688082
2.256742208,6.14292572,-10.63388672,-0.4899311829,12.29044815
2.266718208,5.618266754,-10.50111282,-0.3552113342,11.91488426
2.276693208,5.480104065,-9.762249298,-0.3659889221,11.20120528
2.286669208,5.614225159,-9.132808228,-0.06945556641,10.72065923
2.296645208,5.82588501,-8.458460541,0.1474433899,10.27171993
2.306621208,5.953868866,-7.72019577,0.3201841736,9.754614042
2.316597208,6.03993988,-6.990014191,0.4601431274,9.249481274
2.326572208,6.125561829,-6.400839386,0.4781057739,8.872532766
2.336548208,6.162684631,-6.035449219,0.3237767029,8.631926812
2.346524208,6.139782257,-6.101461945,0.03293151855,8.655971841
2.356500208,6.071075134,-6.369853821,-0.1821711731,8.801487222
2.366476208,5.95102478,-6.760092316,-0.2679428101,9.010290639
2.376452208,5.704936523,-7.200326843,-0.2701881409,9.190430296
2.386427208,5.529201965,-7.817044373,-0.5213658142,9.589060403
2.396403208,5.211861877,-8.265062714,-0.6884184265,9.795340005
2.406379208,4.889582062,-8.399333496,-0.7333250427,9.746516379
2.416355208,4.694837036,-8.359665985,-0.7258406067,9.615214754
2.426331208,4.715045013,-8.190368042,-0.6369255066,9.472035275
2.436306208,4.814737701,-7.909252625,-0.5182223511,9.273970596
2.446282208,5.032085724,-7.645950165,-0.3673361206,9.160642798
2.456258208,5.216951294,-7.390581207,-0.2236349487,9.049159297
2.466234208,5.385351105,-7.167844391,-0.04101470947,8.96558319
2.476210208,5.483397217,-7.071145477,0.2447410583,8.951460305
2.486185208,5.518274689,-6.915618896,0.436791687,8.858212418
2.496161208,5.691015472,-6.804849243,0.5001100159,8.885029001
2.506137208,5.7357724,-6.882837067,0.60025177,8.979578681
2.516113208,5.69475769,-6.940167847,0.6277944946,8.999462252
2.526089208,5.553750916,-6.959777069,0.5519023132,8.921168211
2.536065208,5.396577759,-7.031178589,0.486638031,8.876786605
2.546040208,5.221441956,-7.12937439,0.4161346436,8.846728397
2.556016208,5.013374634,-7.156917114,0.3378474426,8.74468574
2.565992208,5.002746735,-7.094047852,0.2387535095,8.683892736
2.575968208,5.091512146,-7.069349213,0.1871109009,8.714023451
2.585944208,5.195096741,-7.077432404,0.09654922485,8.780000075
2.595919208,5.330265656,-7.079228668,-0.006885681152,8.861560693
2.605895208,5.508993988,-7.174580383,-0.1103205872,9.046313562
2.615871208,5.695655823,-7.270081787,-0.1627116394,9.236939944
2.625847208,5.8737854,-7.328161011,-0.2830613708,9.395925844
2.635823208,5.982309723,-7.326065369,-0.2971321106,9.462956774
2.645798208,6.086343384,-7.293732605,-0.343535614,9.505794434
2.655774208,6.233337708,-7.272776184,-0.4102967834,9.587289286
2.665750208,6.354435883,-7.42890152,-0.3778143311,9.783157816
2.675726208,6.396947479,-7.597301331,-0.3285667419,9.937196821
2.685702208,6.496490479,-7.819140015,-0.3125500488,10.17059618
2.695678208,6.577322388,-8.110284576,-0.2227368164,10.44449603
2.705653208,6.624174957,-8.50306778,-0.09684860229,10.77920383
2.715629208,6.709198151,-8.668473816,0.04221221924,10.96164039
2.725605208,6.8041008,-8.747808838,0.1811233521,11.0838961
2.735581208,7.05333252,-8.756191406,0.3201841736,11.24824011
2.745557208,7.260052643,-8.730744324,0.3917353821,11.36167758
2.755532208,7.369774475,-8.685987396,0.4577481079,11.40041605
2.765508208,7.455396423,-8.537645874,0.629740448,11.35213222
2.775484208,7.662266235,-8.436605988,0.7951464844,11.42448696
2.785460208,8.023764496,-8.626860352,0.8536747742,11.81237812
2.795436208,8.580307159,-9.203610992,0.8427474976,12.61104078
2.805412208,8.957522736,-10.05189697,0.7135661316,13.4828418
2.815387208,8.940757599,-10.76097244,0.6950047302,14.00780875
2.825363208,8.953780518,-11.21842117,0.6096821594,14.36644951
2.835339208,8.829239502,-11.10884903,0.7054829407,14.20773392
2.845315208,8.750952301,-10.56068893,0.7846682739,13.73764977
2.855291208,8.944200439,-10.07105713,0.8749305725,13.49779303
2.865267208,9.117689667,-9.921667786,1.085542603,13.51851172
2.875242208,9.0681427,-9.776469727,1.406175842,13.40850114
2.885218208,9.039552155,-9.34431839,1.732197876,13.11603213
2.895194208,9.04119873,-8.756790161,2.036664734,12.7503981
2.905170208,8.99674118,-8.072563019,2.237846375,12.29290779
2.915146208,8.989705811,-7.295379181,2.254012756,11.79482689
2.925121208,9.042096863,-6.530619507,2.083517303,11.34678594
2.935097208,9.104217682,-5.851781158,1.753453674,10.96379141
2.945073208,9.211993561,-5.263205109,1.389710083,10.7001611
2.955049208,9.366921387,-4.948858795,1.104702759,10.65132798
2.965025208,9.533225555,-4.819827118,0.899329834,10.72016404
2.975001208,9.67423233,-4.798421631,0.7207511902,10.82289719
2.984976208,9.696685638,-4.896018677,0.4547543335,10.87214389
